name,aliases,type,origin_discipline,one_line_summary,rigor_band,band_notes,confidence
Preponderance of Evidence,,framework,law,Civil standard: more likely than not.,doctrinal-institutional,,high
IRAC,,framework,law,"Issue, Rule, Application, Conclusion — structured legal analysis method.",doctrinal-institutional,,high
Stare Decisis,,framework,law,Doctrine binding courts to follow precedents from prior decisions.,doctrinal-institutional,,high
Originalism,,framework,law,Constitutional interpretation according to original public meaning at ratification.,doctrinal-institutional,,high
Living Constitutionalism,,framework,law,Constitutional interpretation accounting for evolving social conditions and values.,doctrinal-institutional,,high
Law and Economics,,framework,law,Posner's framework applying economic analysis to legal rules and institutions.,doctrinal-institutional,,high
Restorative Justice,,framework,law,"Approach centered on repair of harm through dialogue among offender, victim, community.",doctrinal-institutional,,high
Therapeutic Jurisprudence,,framework,law,Wexler and Winick's framework studying law's effects on psychological wellbeing.,doctrinal-institutional,,high
Cynefin Framework,,framework,knowledge management,"Snowden's sense-making framework: clear, complicated, complex, chaotic, confused/aporetic.",organizing-schema,,high
SECI Model,Knowledge Spiral,framework,knowledge management,"Nonaka and Takeuchi: socialization, externalization, combination, internalization.",organizing-schema,,high
Communities of Practice,CoP,framework,knowledge management,Wenger's framework: groups sharing concern and deepening expertise through interaction.,organizing-schema,,high
Tacit and Explicit Knowledge,,framework,knowledge management,Polanyi's distinction between articulable knowledge and the embodied 'we know more than we can tell.',organizing-schema,,high
Five Disciplines,Learning Organization,framework,knowledge management,"Senge's personal mastery, mental models, shared vision, team learning, systems thinking.",organizing-schema,,high
Single-Loop and Double-Loop Learning,,framework,knowledge management,Argyris and Schön: correcting actions vs questioning underlying assumptions.,organizing-schema,,high
Triple-Loop Learning,,framework,knowledge management,Extension questioning the framework of inquiry itself.,organizing-schema,,high
Knowledge Café,,practice,knowledge management,Facilitated small-group conversations rotating to surface collective insights.,organizing-schema,,high
Lessons Learned,,practice,knowledge management,Structured capture of insights from completed work for future application.,organizing-schema,,high
Three-Act Structure,,framework,narrative studies,"Setup, confrontation, resolution — dominant Western dramatic structure.",organizing-schema,,high
Five-Act Structure,Freytag's Pyramid,framework,narrative studies,"Exposition, rising action, climax, falling action, denouement.",organizing-schema,,high
Save the Cat Beat Sheet,,framework,narrative studies,Snyder's fifteen-beat screenplay structure widely used in Hollywood.,organizing-schema,,high
Story Circle,,framework,narrative studies,Harmon's eight-step distillation of Campbell's monomyth for episodic storytelling.,organizing-schema,,high
Pixar Story Spine,,framework,narrative studies,Once upon a time / every day / one day / because of that / until finally / and ever since then.,organizing-schema,,high
Dramatica Theory,,framework,narrative studies,Phillips and Huntley's framework treating story as an analogy for a single mind solving a problem.,organizing-schema,,high
Polti's 36 Dramatic Situations,,framework,narrative studies,Catalog of underlying dramatic conflicts found across all stories.,organizing-schema,,high
Vogeler's Writer's Journey,,framework,narrative studies,Writer's adaptation of Campbell's monomyth for screenwriters.,organizing-schema,,high
Aristotle's Poetics,,framework,narrative studies,"Foundational analysis of tragedy with concepts of mimesis, catharsis, hamartia, peripeteia.",organizing-schema,,high
Show Don't Tell,,technique,narrative studies,Craft principle preferring scene and sensory detail over exposition.,organizing-schema,,high
In Medias Res,,technique,narrative studies,Beginning a narrative in the middle of action rather than at the chronological start.,organizing-schema,,high
Neuro-Linguistic Programming,NLP,framework,psychology,"Bandler and Grinder's framework linking neurology, language, and patterned behavior; widely used in coaching despite weak empirical support.",organizing-schema,Cultural penetration is high; specific claims about modeling excellence and neural correlates have been disconfirmed in mainstream cognitive science.,high
Spiral Dynamics,,framework,psychology,"Beck and Cowan's value-systems hierarchy adapted from Graves' research, used in organizational and developmental contexts.",organizing-schema,Adapted from Clare Graves' work but Graves himself never published comprehensive empirical validation; no peer-reviewed validation of the value-meme hierarchy.,high
Integral Theory,AQAL,framework,psychology,"Wilber's metasystematic synthesis integrating quadrants, levels, lines, states, and types of human development.",organizing-schema,Influential in transpersonal psychology and integral studies; not empirically validated and explicitly questions empirical validation as sole criterion of truth.,high
Pomodoro Technique,,technique,psychology,Cirillo's time-management technique using 25-minute focus intervals separated by short breaks.,organizing-schema,,high
Basel III,,framework,governance and compliance,"Bank capital, leverage, and liquidity standards from the Basel Committee on Banking Supervision, post-2008.",regulatory-standard,Implemented through national regulators with local variation; Basel IV finalization is in progress.,high
CAMELS Rating,,framework,governance and compliance,"US bank examination rating: Capital, Assets, Management, Earnings, Liquidity, Sensitivity to market risk.",regulatory-standard,,high
Dodd-Frank Act,,framework,governance and compliance,"US 2010 financial reform legislation establishing CFPB, FSOC, Volcker Rule, and resolution authority.",regulatory-standard,,high
BSA/AML,Bank Secrecy Act; Anti-Money Laundering,framework,governance and compliance,US framework requiring financial institutions to detect and report suspicious activity.,regulatory-standard,,high
KYC,Know Your Customer,framework,governance and compliance,Customer due diligence requirements identifying who is doing business with a financial institution.,regulatory-standard,,high
Community Reinvestment Act,CRA,framework,governance and compliance,"US 1977 law requiring banks to meet credit needs of all communities they serve, including low-income areas.",regulatory-standard,,high
FFIEC IT Examination Handbook,,framework,governance and compliance,Federal Financial Institutions Examination Council guidance for examining IT operations at supervised institutions.,regulatory-standard,,high
CCAR,Comprehensive Capital Analysis and Review,framework,governance and compliance,Federal Reserve's annual capital adequacy assessment of large bank holding companies.,regulatory-standard,,high
DFAST,Dodd-Frank Act Stress Test,framework,governance and compliance,Annual stress testing required for banks above asset thresholds under Dodd-Frank.,regulatory-standard,,high
CECL,Current Expected Credit Loss,framework,governance and compliance,US GAAP standard requiring forward-looking estimation of expected credit losses over instrument lifetime.,regulatory-standard,,high
IFRS 9,,framework,governance and compliance,"International accounting standard for financial instruments, including expected credit loss model.",regulatory-standard,,high
ALCO Framework,Asset-Liability Committee,framework,governance and compliance,"Bank governance framework for managing interest rate risk, liquidity, and balance sheet structure.",organizing-schema,Conceptual governance framework rather than a codified standard; specific structure varies considerably across institutions.,high
Sarbanes-Oxley,SOX,framework,governance and compliance,US 2002 law mandating financial reporting controls and executive certifications for public companies.,regulatory-standard,,high
COSO Internal Control-Integrated Framework,COSO IC,framework,governance and compliance,"Five-component framework for designing internal controls: control environment, risk assessment, control activities, information and communication, monitoring.",regulatory-standard,,high
COSO ERM,Enterprise Risk Management,framework,governance and compliance,Enterprise-level extension of COSO internal control framework integrating strategy and performance with risk.,regulatory-standard,,high
ISO 31000,,framework,governance and compliance,International standard providing principles and generic guidelines on risk management.,regulatory-standard,,high
Three Lines Model,Three Lines of Defense,framework,governance and compliance,"IIA framework distinguishing operational management, risk and compliance functions, and internal audit assurance.",organizing-schema,2020 IIA update renamed and refined the older 'Three Lines of Defense' framing; conceptual framework rather than a codified standard.,high
FAIR,Factor Analysis of Information Risk,framework,cybersecurity,Quantitative risk framework decomposing risk into loss event frequency and loss magnitude with probabilistic factors.,regulatory-standard,Quantitative methodology now standardized as Open FAIR through The Open Group; distinct from qualitative risk-rating approaches.,high
ORSA,Own Risk and Solvency Assessment,framework,governance and compliance,Insurance-sector self-assessment of all material risks against capital and solvency.,regulatory-standard,,high
NIST Cybersecurity Framework,NIST CSF,framework,cybersecurity,"Six core functions (Govern, Identify, Protect, Detect, Respond, Recover) plus implementation tiers and profiles.",regulatory-standard,,high
NIST 800-53,,framework,cybersecurity,Catalog of security and privacy controls for federal information systems and organizations.,regulatory-standard,,high
NIST Risk Management Framework,NIST RMF; NIST 800-37,framework,cybersecurity,"Seven-step process for integrating security, privacy, and risk management into the system development lifecycle.",regulatory-standard,,high
ISO/IEC 27001,ISO 27001,framework,cybersecurity,International standard specifying requirements for an information security management system (ISMS).,regulatory-standard,,high
ISO/IEC 27002,ISO 27002,framework,cybersecurity,International standard providing guidance on information security controls.,regulatory-standard,,high
CIS Controls,CIS Critical Security Controls,framework,cybersecurity,Center for Internet Security's prioritized set of cybersecurity actions for organizations.,regulatory-standard,,high
MITRE ATT&CK,,framework,cybersecurity,"Globally accessible knowledge base of adversary tactics, techniques, and procedures based on real-world observations.",organizing-schema,Knowledge base structure rather than a prescriptive control framework; widely used as reference and threat-modeling input.,high
Cyber Kill Chain,Lockheed Martin Kill Chain,framework,cybersecurity,"Seven-phase model of intrusion: reconnaissance, weaponization, delivery, exploitation, installation, command-and-control, actions on objectives.",organizing-schema,Lockheed Martin's framework biases toward perimeter-centric thinking; less aligned with cloud and zero-trust architectures.,high
Diamond Model of Intrusion Analysis,,framework,cybersecurity,"Four-feature framework for intrusion events: adversary, capability, infrastructure, victim.",organizing-schema,,high
STRIDE,,framework,cybersecurity,"Microsoft threat modeling categorization: Spoofing, Tampering, Repudiation, Information disclosure, Denial of service, Elevation of privilege.",organizing-schema,,high
PASTA,Process for Attack Simulation and Threat Analysis,framework,cybersecurity,Seven-stage risk-centric threat modeling methodology.,organizing-schema,,high
Zero Trust Architecture,Zero Trust,framework,cybersecurity,Security model assuming no implicit trust based on network location; every access decision is verified.,organizing-schema,Coined by Forrester's John Kindervag; codified into NIST 800-207 for operational guidance.,high
Defense in Depth,Layered Security,framework,cybersecurity,Strategy using multiple overlapping security controls so failure of any single layer does not compromise the system.,organizing-schema,,high
CMMC,Cybersecurity Maturity Model Certification,framework,cybersecurity,DoD certification framework for protecting federal contract information and controlled unclassified information.,regulatory-standard,,high
HITRUST CSF,HITRUST Common Security Framework,framework,cybersecurity,"Certifiable framework integrating HIPAA, NIST, ISO, PCI, and other authoritative sources.",regulatory-standard,,high
FedRAMP,Federal Risk and Authorization Management Program,framework,cybersecurity,US government program standardizing security assessment and authorization for cloud services.,regulatory-standard,,high
PCI DSS,Payment Card Industry Data Security Standard,framework,cybersecurity,Industry standard for organizations handling branded credit cards from major card networks.,regulatory-standard,,high
GDPR,General Data Protection Regulation,framework,governance and compliance,EU regulation on data protection and privacy applicable to processing of EU residents' personal data.,regulatory-standard,Has substantial extraterritorial reach; non-EU organizations processing EU residents' data must comply.,high
CCPA,California Consumer Privacy Act,framework,governance and compliance,California state law granting consumers rights over personal information collected by businesses.,regulatory-standard,,high
HIPAA,Health Insurance Portability and Accountability Act,framework,governance and compliance,US law establishing privacy and security standards for protected health information.,regulatory-standard,,high
Privacy by Design,PbD,framework,cybersecurity,Cavoukian's seven foundational principles for embedding privacy into the design of systems and processes.,organizing-schema,,high
FIPPs,Fair Information Practice Principles,framework,governance and compliance,"Foundational set of principles (notice, choice, access, security, accountability) underlying most privacy regimes.",organizing-schema,,high
Differential Privacy,,framework,mathematics,Formal definition guaranteeing that the inclusion or exclusion of any single record does not significantly affect query outputs.,formal-scientific,,high
ISO 9001,,framework,governance and compliance,International standard for quality management systems with seven principles including process approach and continuous improvement.,regulatory-standard,,high
ITIL,Information Technology Infrastructure Library,framework,governance and compliance,"Framework for IT service management including service strategy, design, transition, operation, and continual improvement.",regulatory-standard,,high
COBIT,Control Objectives for Information and Related Technologies,framework,governance and compliance,ISACA framework for governance and management of enterprise IT.,regulatory-standard,,high
TOGAF,The Open Group Architecture Framework,framework,governance and compliance,Enterprise architecture framework with Architecture Development Method (ADM) and content metamodel.,regulatory-standard,,high
Zachman Framework,,framework,governance and compliance,"Enterprise architecture taxonomy intersecting six perspectives with six abstractions (what, how, where, who, when, why).",organizing-schema,,high
CMMI,Capability Maturity Model Integration,framework,governance and compliance,"Five-level process maturity model: Initial, Managed, Defined, Quantitatively Managed, Optimizing.",regulatory-standard,,high
SOC 2,Service Organization Controls 2,framework,governance and compliance,"AICPA framework for reporting on controls relevant to security, availability, processing integrity, confidentiality, and privacy.",regulatory-standard,,high
SSAE 18,,framework,governance and compliance,Statement on Standards for Attestation Engagements 18 — current AICPA standard governing service organization audits.,regulatory-standard,,high
TCFD,Task Force on Climate-related Financial Disclosures,framework,governance and compliance,"Voluntary framework for climate-related financial risk disclosures across governance, strategy, risk, and metrics.",regulatory-standard,,high
SASB,Sustainability Accounting Standards Board,framework,governance and compliance,"Industry-specific sustainability disclosure standards, now under the IFRS Foundation's ISSB.",regulatory-standard,,high
GRI,Global Reporting Initiative,framework,governance and compliance,"Most widely used sustainability reporting framework with universal, sector, and topic standards.",regulatory-standard,,high
LEED,Leadership in Energy and Environmental Design,framework,governance and compliance,"USGBC certification system for green buildings across categories like energy, water, materials, and indoor environment.",regulatory-standard,,high
