name,aliases,type,origin_discipline,one_line_summary,rigor_band,band_notes,confidence,enrichment_status,manifest_version_added
Liminality,,framework,anthropology,Van Gennep and Turner on threshold states between social positions or identities.,organizing-schema,,high,enriched,v4
Rites of Passage,,framework,anthropology,"Van Gennep's three-phase structure: separation, liminal phase, reincorporation.",organizing-schema,,high,enriched,v4
Hero's Journey,Monomyth,framework,narrative studies,"Campbell's universal narrative pattern of departure, initiation, and return.",organizing-schema,,high,enriched,v4
Cultural Materialism,,framework,anthropology,Harris' framework prioritizing infrastructure (material conditions) in cultural explanation.,organizing-schema,,high,enriched,v4
Ethnography,,framework,anthropology,Immersive long-term fieldwork yielding detailed accounts of cultural practices.,structured-empirical,,high,enriched,v4
Participant Observation,,technique,anthropology,Researcher takes part in a community while systematically observing and recording.,organizing-schema,,high,enriched,v4
Design Thinking,,framework,design,Empathize-define-ideate-prototype-test cycle popularized by Stanford d.school and IDEO.,organizing-schema,,high,enriched,v4
Double Diamond,,framework,design,UK Design Council's discover-define-develop-deliver model with diverging and converging phases.,organizing-schema,,high,enriched,v4
Human-Centered Design,HCD,framework,design,"Design grounded in deep understanding of user needs, behaviors, and contexts.",organizing-schema,,high,enriched,v4
Service Design,,framework,design,"Holistic design of services across touchpoints, channels, and stakeholders.",organizing-schema,,high,enriched,v4
Inclusive Design,,framework,design,Designing for the full range of human diversity rather than the average user.,organizing-schema,,high,enriched,v4
Universal Design,,framework,design,Mace's framework: design usable by all people without need for adaptation.,organizing-schema,,high,enriched,v4
Speculative Design,Critical Design,framework,design,Design used to provoke debate about possible futures rather than to solve problems.,organizing-schema,,high,enriched,v4
Cradle to Cradle,C2C,framework,design,McDonough and Braungart's framework for circular materials flow eliminating waste.,organizing-schema,,high,enriched,v4
Biomimicry,,framework,design,Benyus' framework drawing design principles from nature's strategies.,organizing-schema,,high,enriched,v4
Gestalt Principles,,framework,design,"Perceptual organization principles: proximity, similarity, closure, continuity, figure-ground.",organizing-schema,,high,enriched,v4
Nielsen's Ten Heuristics,,framework,design,Nielsen's usability heuristics including visibility of system status and error prevention.,organizing-schema,,high,enriched,v4
Atomic Design,,framework,design,"Frost's component hierarchy: atoms, molecules, organisms, templates, pages.",organizing-schema,,high,enriched,v4
Don Norman's Design Principles,,framework,design,"Visibility, feedback, constraints, mapping, consistency, affordance.",organizing-schema,,high,enriched,v4
Storyboarding,,tool,design,Sequential visual depiction of a user's experience or narrative.,organizing-schema,,high,enriched,v4
Wireframing,,tool,design,Low-fidelity visual layout of an interface focusing on structure and content priority.,organizing-schema,,high,enriched,v4
Form Follows Function,,framework,design,Sullivan's modernist principle that a building's form should follow its purpose.,organizing-schema,,high,enriched,v4
Bloom's Taxonomy,,framework,education,Hierarchy of cognitive learning objectives from remembering through evaluating and creating.,structured-empirical,,high,enriched,v4
Revised Bloom's Taxonomy,Anderson and Krathwohl,framework,education,Updated Bloom adding the knowledge dimension and reordering create as the top.,organizing-schema,,high,enriched,v4
SOLO Taxonomy,,framework,education,Biggs' Structure of the Observed Learning Outcome from prestructural to extended abstract.,organizing-schema,,high,enriched,v4
Webb's Depth of Knowledge,DoK,framework,education,"Four levels of cognitive complexity: recall, skill/concept, strategic thinking, extended thinking.",organizing-schema,,high,enriched,v4
ADDIE Model,,framework,education,"Instructional design: Analyze, Design, Develop, Implement, Evaluate.",organizing-schema,,high,enriched,v4
Backward Design,Understanding by Design,framework,education,"Wiggins and McTighe: start with desired outcomes, then plan assessment, then instruction.",organizing-schema,,high,enriched,v4
Universal Design for Learning,UDL,framework,education,"Multiple means of engagement, representation, and action/expression.",organizing-schema,,high,enriched,v4
Differentiated Instruction,,framework,education,"Tomlinson's approach tailoring content, process, product to learner readiness, interest, profile.",organizing-schema,,high,enriched,v4
Constructivism (Education),,framework,education,Learning as active construction of meaning rather than passive reception.,organizing-schema,,high,enriched,v4
Connectivism,,framework,education,Siemens' learning theory for the digital age emphasizing networks of nodes.,organizing-schema,,high,enriched,v4
Andragogy,,framework,education,Knowles' framework distinguishing adult learning from pedagogy of children.,organizing-schema,,high,enriched,v4
Experiential Learning,Kolb's Cycle,framework,education,"Learning cycle: concrete experience, reflective observation, abstract conceptualization, active experimentation.",organizing-schema,"Kolb's experiential cycle has more support than the associated learning-styles taxonomy, which has been largely disconfirmed.",high,enriched,v4
Multiple Intelligences,MI,framework,education,"Gardner's framework of distinct intelligences: linguistic, logical, spatial, musical, kinesthetic, interpersonal, intrapersonal, naturalistic.",organizing-schema,Gardner's specific dimensional structure has not been supported by mainstream cognitive psychology research.,high,enriched,v4
Mastery Learning,,framework,education,Bloom's approach: students must demonstrate mastery before progressing.,structured-empirical,,high,enriched,v4
Flipped Classroom,,framework,education,Direct instruction at home; class time used for application and practice.,organizing-schema,,high,enriched,v4
Project-Based Learning,PBL,framework,education,Extended student inquiry organized around authentic projects.,organizing-schema,,high,enriched,v4
Problem-Based Learning,PBL,framework,education,Learning organized around investigation of complex real-world problems.,organizing-schema,,high,enriched,v4
Inquiry-Based Learning,,framework,education,Student-driven exploration with teacher as facilitator rather than transmitter.,organizing-schema,,high,enriched,v4
TPACK,Technological Pedagogical Content Knowledge,framework,education,Mishra and Koehler's intersecting domains of teacher expertise.,organizing-schema,,high,enriched,v4
SAMR Model,,framework,education,"Puentedura's four levels of technology integration: substitution, augmentation, modification, redefinition.",organizing-schema,,high,enriched,v4
Spaced Repetition,,technique,education,Reviewing material at expanding intervals to optimize long-term retention.,structured-empirical,,high,enriched,v4
Active Recall,Retrieval Practice,technique,education,Self-testing rather than re-reading to strengthen memory consolidation.,structured-empirical,,high,enriched,v4
Feynman Technique,,technique,education,Test understanding by explaining a concept simply enough for a child.,organizing-schema,,high,enriched,v4
Cornell Note-Taking,,tool,education,"Note format dividing the page into cues, notes, and summary sections.",organizing-schema,,high,enriched,v4
Concept Mapping,,tool,education,Novak's visual representation of relationships among concepts.,organizing-schema,,high,enriched,v4
Strict Scrutiny,,framework,law,US constitutional standard requiring narrow tailoring to a compelling government interest.,doctrinal-institutional,,high,enriched,v4
Intermediate Scrutiny,,framework,law,Constitutional review requiring substantial relation to important governmental interest.,doctrinal-institutional,,high,enriched,v4
Rational Basis Review,,framework,law,Lowest US constitutional standard: law must be rationally related to a legitimate interest.,doctrinal-institutional,,high,enriched,v4
Proportionality Test,,framework,law,Multi-stage review used in many jurisdictions to assess rights infringements.,doctrinal-institutional,,high,enriched,v4
Reasonable Person Standard,,framework,law,Hypothetical ordinarily prudent person used as a benchmark for negligence.,doctrinal-institutional,,high,enriched,v4
Hand Formula,Learned Hand Test,framework,law,Negligence test: liable if burden of precaution is less than probability times loss.,doctrinal-institutional,,high,enriched,v4
Reasonable Doubt Standard,,framework,law,"Highest evidentiary standard, required for criminal conviction in common law systems.",doctrinal-institutional,,high,enriched,v4
Preponderance of Evidence,,framework,law,Civil standard: more likely than not.,doctrinal-institutional,,high,enriched,v4
IRAC,,framework,law,"Issue, Rule, Application, Conclusion — structured legal analysis method.",doctrinal-institutional,,high,enriched,v4
Stare Decisis,,framework,law,Doctrine binding courts to follow precedents from prior decisions.,doctrinal-institutional,,high,enriched,v4
Originalism,,framework,law,Constitutional interpretation according to original public meaning at ratification.,doctrinal-institutional,,high,enriched,v4
Living Constitutionalism,,framework,law,Constitutional interpretation accounting for evolving social conditions and values.,doctrinal-institutional,,high,enriched,v4
Law and Economics,,framework,law,Posner's framework applying economic analysis to legal rules and institutions.,doctrinal-institutional,,high,enriched,v4
Restorative Justice,,framework,law,"Approach centered on repair of harm through dialogue among offender, victim, community.",doctrinal-institutional,,high,enriched,v4
Therapeutic Jurisprudence,,framework,law,Wexler and Winick's framework studying law's effects on psychological wellbeing.,doctrinal-institutional,,high,enriched,v4
Cynefin Framework,,framework,knowledge management,"Snowden's sense-making framework: clear, complicated, complex, chaotic, confused/aporetic.",organizing-schema,,high,enriched,v4
SECI Model,Knowledge Spiral,framework,knowledge management,"Nonaka and Takeuchi: socialization, externalization, combination, internalization.",organizing-schema,,high,enriched,v4
Communities of Practice,CoP,framework,knowledge management,Wenger's framework: groups sharing concern and deepening expertise through interaction.,organizing-schema,,high,enriched,v4
Tacit and Explicit Knowledge,,framework,knowledge management,Polanyi's distinction between articulable knowledge and the embodied 'we know more than we can tell.',organizing-schema,,high,enriched,v4
Five Disciplines,Learning Organization,framework,knowledge management,"Senge's personal mastery, mental models, shared vision, team learning, systems thinking.",organizing-schema,,high,enriched,v4
Single-Loop and Double-Loop Learning,,framework,knowledge management,Argyris and Schön: correcting actions vs questioning underlying assumptions.,organizing-schema,,high,enriched,v4
Triple-Loop Learning,,framework,knowledge management,Extension questioning the framework of inquiry itself.,organizing-schema,,high,enriched,v4
Knowledge Café,,practice,knowledge management,Facilitated small-group conversations rotating to surface collective insights.,organizing-schema,,high,enriched,v4
Lessons Learned,,practice,knowledge management,Structured capture of insights from completed work for future application.,organizing-schema,,high,enriched,v4
Three-Act Structure,,framework,narrative studies,"Setup, confrontation, resolution — dominant Western dramatic structure.",organizing-schema,,high,enriched,v4
Five-Act Structure,Freytag's Pyramid,framework,narrative studies,"Exposition, rising action, climax, falling action, denouement.",organizing-schema,,high,enriched,v4
Save the Cat Beat Sheet,,framework,narrative studies,Snyder's fifteen-beat screenplay structure widely used in Hollywood.,organizing-schema,,high,enriched,v4
Story Circle,,framework,narrative studies,Harmon's eight-step distillation of Campbell's monomyth for episodic storytelling.,organizing-schema,,high,enriched,v4
Pixar Story Spine,,framework,narrative studies,Once upon a time / every day / one day / because of that / until finally / and ever since then.,organizing-schema,,high,enriched,v4
Dramatica Theory,,framework,narrative studies,Phillips and Huntley's framework treating story as an analogy for a single mind solving a problem.,organizing-schema,,high,enriched,v4
Polti's 36 Dramatic Situations,,framework,narrative studies,Catalog of underlying dramatic conflicts found across all stories.,organizing-schema,,high,enriched,v4
Vogeler's Writer's Journey,,framework,narrative studies,Writer's adaptation of Campbell's monomyth for screenwriters.,organizing-schema,,high,enriched,v4
Aristotle's Poetics,,framework,narrative studies,"Foundational analysis of tragedy with concepts of mimesis, catharsis, hamartia, peripeteia.",organizing-schema,,high,enriched,v4
Show Don't Tell,,technique,narrative studies,Craft principle preferring scene and sensory detail over exposition.,organizing-schema,,high,enriched,v4
In Medias Res,,technique,narrative studies,Beginning a narrative in the middle of action rather than at the chronological start.,organizing-schema,,high,enriched,v4
Neuro-Linguistic Programming,NLP,framework,psychology,"Bandler and Grinder's framework linking neurology, language, and patterned behavior; widely used in coaching despite weak empirical support.",organizing-schema,Cultural penetration is high; specific claims about modeling excellence and neural correlates have been disconfirmed in mainstream cognitive science.,high,enriched,v4
Spiral Dynamics,,framework,psychology,"Beck and Cowan's value-systems hierarchy adapted from Graves' research, used in organizational and developmental contexts.",organizing-schema,Adapted from Clare Graves' work but Graves himself never published comprehensive empirical validation; no peer-reviewed validation of the value-meme hierarchy.,high,enriched,v4
Integral Theory,AQAL,framework,psychology,"Wilber's metasystematic synthesis integrating quadrants, levels, lines, states, and types of human development.",organizing-schema,Influential in transpersonal psychology and integral studies; not empirically validated and explicitly questions empirical validation as sole criterion of truth.,high,enriched,v4
Pomodoro Technique,,technique,psychology,Cirillo's time-management technique using 25-minute focus intervals separated by short breaks.,organizing-schema,,high,enriched,v4
Basel III,,framework,governance and compliance,"Bank capital, leverage, and liquidity standards from the Basel Committee on Banking Supervision, post-2008.",regulatory-standard,Implemented through national regulators with local variation; Basel IV finalization is in progress.,high,enriched,v4
CAMELS Rating,,framework,governance and compliance,"US bank examination rating: Capital, Assets, Management, Earnings, Liquidity, Sensitivity to market risk.",regulatory-standard,,high,enriched,v4
Dodd-Frank Act,,framework,governance and compliance,"US 2010 financial reform legislation establishing CFPB, FSOC, Volcker Rule, and resolution authority.",regulatory-standard,,high,enriched,v4
BSA/AML,Bank Secrecy Act; Anti-Money Laundering,framework,governance and compliance,US framework requiring financial institutions to detect and report suspicious activity.,regulatory-standard,,high,enriched,v4
KYC,Know Your Customer,framework,governance and compliance,Customer due diligence requirements identifying who is doing business with a financial institution.,regulatory-standard,,high,enriched,v4
Community Reinvestment Act,CRA,framework,governance and compliance,"US 1977 law requiring banks to meet credit needs of all communities they serve, including low-income areas.",regulatory-standard,,high,enriched,v4
FFIEC IT Examination Handbook,,framework,governance and compliance,Federal Financial Institutions Examination Council guidance for examining IT operations at supervised institutions.,regulatory-standard,,high,enriched,v4
CCAR,Comprehensive Capital Analysis and Review,framework,governance and compliance,Federal Reserve's annual capital adequacy assessment of large bank holding companies.,regulatory-standard,,high,enriched,v4
DFAST,Dodd-Frank Act Stress Test,framework,governance and compliance,Annual stress testing required for banks above asset thresholds under Dodd-Frank.,regulatory-standard,,high,enriched,v4
CECL,Current Expected Credit Loss,framework,governance and compliance,US GAAP standard requiring forward-looking estimation of expected credit losses over instrument lifetime.,regulatory-standard,,high,enriched,v4
IFRS 9,,framework,governance and compliance,"International accounting standard for financial instruments, including expected credit loss model.",regulatory-standard,,high,enriched,v4
ALCO Framework,Asset-Liability Committee,framework,governance and compliance,"Bank governance framework for managing interest rate risk, liquidity, and balance sheet structure.",organizing-schema,Conceptual governance framework rather than a codified standard; specific structure varies considerably across institutions.,high,enriched,v4
Sarbanes-Oxley,SOX,framework,governance and compliance,US 2002 law mandating financial reporting controls and executive certifications for public companies.,regulatory-standard,,high,enriched,v4
COSO Internal Control-Integrated Framework,COSO IC,framework,governance and compliance,"Five-component framework for designing internal controls: control environment, risk assessment, control activities, information and communication, monitoring.",regulatory-standard,,high,enriched,v4
COSO ERM,Enterprise Risk Management,framework,governance and compliance,Enterprise-level extension of COSO internal control framework integrating strategy and performance with risk.,regulatory-standard,,high,enriched,v4
ISO 31000,,framework,governance and compliance,International standard providing principles and generic guidelines on risk management.,regulatory-standard,,high,enriched,v4
Three Lines Model,Three Lines of Defense,framework,governance and compliance,"IIA framework distinguishing operational management, risk and compliance functions, and internal audit assurance.",organizing-schema,2020 IIA update renamed and refined the older 'Three Lines of Defense' framing; conceptual framework rather than a codified standard.,high,enriched,v4
FAIR,Factor Analysis of Information Risk,framework,cybersecurity,Quantitative risk framework decomposing risk into loss event frequency and loss magnitude with probabilistic factors.,regulatory-standard,Quantitative methodology now standardized as Open FAIR through The Open Group; distinct from qualitative risk-rating approaches.,high,enriched,v4
ORSA,Own Risk and Solvency Assessment,framework,governance and compliance,Insurance-sector self-assessment of all material risks against capital and solvency.,regulatory-standard,,high,enriched,v4
NIST Cybersecurity Framework,NIST CSF,framework,cybersecurity,"Six core functions (Govern, Identify, Protect, Detect, Respond, Recover) plus implementation tiers and profiles.",regulatory-standard,,high,enriched,v4
NIST 800-53,,framework,cybersecurity,Catalog of security and privacy controls for federal information systems and organizations.,regulatory-standard,,high,enriched,v4
NIST Risk Management Framework,NIST RMF; NIST 800-37,framework,cybersecurity,"Seven-step process for integrating security, privacy, and risk management into the system development lifecycle.",regulatory-standard,,high,enriched,v4
ISO/IEC 27001,ISO 27001,framework,cybersecurity,International standard specifying requirements for an information security management system (ISMS).,regulatory-standard,,high,enriched,v4
ISO/IEC 27002,ISO 27002,framework,cybersecurity,International standard providing guidance on information security controls.,regulatory-standard,,high,enriched,v4
CIS Controls,CIS Critical Security Controls,framework,cybersecurity,Center for Internet Security's prioritized set of cybersecurity actions for organizations.,regulatory-standard,,high,enriched,v4
MITRE ATT&CK,,framework,cybersecurity,"Globally accessible knowledge base of adversary tactics, techniques, and procedures based on real-world observations.",organizing-schema,Knowledge base structure rather than a prescriptive control framework; widely used as reference and threat-modeling input.,high,enriched,v4
Cyber Kill Chain,Lockheed Martin Kill Chain,framework,cybersecurity,"Seven-phase model of intrusion: reconnaissance, weaponization, delivery, exploitation, installation, command-and-control, actions on objectives.",organizing-schema,Lockheed Martin's framework biases toward perimeter-centric thinking; less aligned with cloud and zero-trust architectures.,high,enriched,v4
Diamond Model of Intrusion Analysis,,framework,cybersecurity,"Four-feature framework for intrusion events: adversary, capability, infrastructure, victim.",organizing-schema,,high,enriched,v4
STRIDE,,framework,cybersecurity,"Microsoft threat modeling categorization: Spoofing, Tampering, Repudiation, Information disclosure, Denial of service, Elevation of privilege.",organizing-schema,,high,enriched,v4
PASTA,Process for Attack Simulation and Threat Analysis,framework,cybersecurity,Seven-stage risk-centric threat modeling methodology.,organizing-schema,,high,enriched,v4
Zero Trust Architecture,Zero Trust,framework,cybersecurity,Security model assuming no implicit trust based on network location; every access decision is verified.,organizing-schema,Coined by Forrester's John Kindervag; codified into NIST 800-207 for operational guidance.,high,enriched,v4
Defense in Depth,Layered Security,framework,cybersecurity,Strategy using multiple overlapping security controls so failure of any single layer does not compromise the system.,organizing-schema,,high,enriched,v4
CMMC,Cybersecurity Maturity Model Certification,framework,cybersecurity,DoD certification framework for protecting federal contract information and controlled unclassified information.,regulatory-standard,,high,enriched,v4
HITRUST CSF,HITRUST Common Security Framework,framework,cybersecurity,"Certifiable framework integrating HIPAA, NIST, ISO, PCI, and other authoritative sources.",regulatory-standard,,high,enriched,v4
FedRAMP,Federal Risk and Authorization Management Program,framework,cybersecurity,US government program standardizing security assessment and authorization for cloud services.,regulatory-standard,,high,enriched,v4
PCI DSS,Payment Card Industry Data Security Standard,framework,cybersecurity,Industry standard for organizations handling branded credit cards from major card networks.,regulatory-standard,,high,enriched,v4
GDPR,General Data Protection Regulation,framework,governance and compliance,EU regulation on data protection and privacy applicable to processing of EU residents' personal data.,regulatory-standard,Has substantial extraterritorial reach; non-EU organizations processing EU residents' data must comply.,high,enriched,v4
CCPA,California Consumer Privacy Act,framework,governance and compliance,California state law granting consumers rights over personal information collected by businesses.,regulatory-standard,,high,enriched,v4
HIPAA,Health Insurance Portability and Accountability Act,framework,governance and compliance,US law establishing privacy and security standards for protected health information.,regulatory-standard,,high,enriched,v4
Privacy by Design,PbD,framework,cybersecurity,Cavoukian's seven foundational principles for embedding privacy into the design of systems and processes.,organizing-schema,,high,enriched,v4
FIPPs,Fair Information Practice Principles,framework,governance and compliance,"Foundational set of principles (notice, choice, access, security, accountability) underlying most privacy regimes.",organizing-schema,,high,enriched,v4
Differential Privacy,,framework,mathematics,Formal definition guaranteeing that the inclusion or exclusion of any single record does not significantly affect query outputs.,formal-scientific,,high,enriched,v4
ISO 9001,,framework,governance and compliance,International standard for quality management systems with seven principles including process approach and continuous improvement.,regulatory-standard,,high,enriched,v4
ITIL,Information Technology Infrastructure Library,framework,governance and compliance,"Framework for IT service management including service strategy, design, transition, operation, and continual improvement.",regulatory-standard,,high,enriched,v4
COBIT,Control Objectives for Information and Related Technologies,framework,governance and compliance,ISACA framework for governance and management of enterprise IT.,regulatory-standard,,high,enriched,v4
TOGAF,The Open Group Architecture Framework,framework,governance and compliance,Enterprise architecture framework with Architecture Development Method (ADM) and content metamodel.,regulatory-standard,,high,enriched,v4
Zachman Framework,,framework,governance and compliance,"Enterprise architecture taxonomy intersecting six perspectives with six abstractions (what, how, where, who, when, why).",organizing-schema,,high,enriched,v4
CMMI,Capability Maturity Model Integration,framework,governance and compliance,"Five-level process maturity model: Initial, Managed, Defined, Quantitatively Managed, Optimizing.",regulatory-standard,,high,enriched,v4
SOC 2,Service Organization Controls 2,framework,governance and compliance,"AICPA framework for reporting on controls relevant to security, availability, processing integrity, confidentiality, and privacy.",regulatory-standard,,high,enriched,v4
SSAE 18,,framework,governance and compliance,Statement on Standards for Attestation Engagements 18 — current AICPA standard governing service organization audits.,regulatory-standard,,high,enriched,v4
TCFD,Task Force on Climate-related Financial Disclosures,framework,governance and compliance,"Voluntary framework for climate-related financial risk disclosures across governance, strategy, risk, and metrics.",regulatory-standard,,high,enriched,v4
SASB,Sustainability Accounting Standards Board,framework,governance and compliance,"Industry-specific sustainability disclosure standards, now under the IFRS Foundation's ISSB.",regulatory-standard,,high,enriched,v4
GRI,Global Reporting Initiative,framework,governance and compliance,"Most widely used sustainability reporting framework with universal, sector, and topic standards.",regulatory-standard,,high,enriched,v4
LEED,Leadership in Energy and Environmental Design,framework,governance and compliance,"USGBC certification system for green buildings across categories like energy, water, materials, and indoor environment.",regulatory-standard,,high,enriched,v4
PMBOK Guide,PMBOK; PMI Guide,framework,project management,"PMI's Project Management Body of Knowledge defining processes, knowledge areas, and the basis for the PMP certification.",regulatory-standard,,high,pending,v4.2
PRINCE2,Projects in Controlled Environments,framework,project management,AXELOS's process-based project management methodology widely used in UK government and international contexts.,regulatory-standard,,high,pending,v4.2
PRINCE2 Agile,,framework,project management,AXELOS framework composing PRINCE2 governance with agile delivery techniques drawn primarily from DSDM and Scrum.,regulatory-standard,,high,pending,v4.2
IPMA Competence Baseline,ICB,framework,project management,"International Project Management Association's competence-based framework for individual project, programme, and portfolio managers.",regulatory-standard,,high,pending,v4.2
ISO 21500,,framework,project management,"International standard providing guidance on project management concepts and processes, foundational to the ISO 21500 series.",regulatory-standard,,high,pending,v4.2
ISO 21502,,framework,project management,"International standard providing guidance on project management practices, replacing ISO 21500:2012 as the practice-focused standard.",regulatory-standard,,high,pending,v4.2
P3.express,,framework,project management,Open-license lightweight project management methodology designed for medium-sized organizations.,organizing-schema,,high,pending,v4.2
OPM3,Organizational Project Management Maturity Model,framework,project management,"PMI's framework assessing an organization's project management maturity across knowledge, assessment, and improvement domains.",regulatory-standard,,high,pending,v4.2
P3M3,Portfolio Programme Project Management Maturity Model,framework,project management,"AXELOS maturity model assessing organizational capability across portfolio, programme, and project management.",regulatory-standard,,high,pending,v4.2
Managing Successful Programmes,MSP,framework,project management,AXELOS programme management methodology for delivering transformational change through coordinated projects.,regulatory-standard,,high,pending,v4.2
Management of Risk,M_o_R,framework,project management,"AXELOS risk management methodology providing principles, approach, processes, and techniques across organizational levels.",regulatory-standard,,high,pending,v4.2
DSDM,Atern; Dynamic Systems Development Method,framework,project management,"Agile project delivery framework emphasizing fixed time and cost with variable scope, foundational to PRINCE2 Agile.",organizing-schema,,high,pending,v4.2
Crystal Methods,Crystal family,framework,computer science,"Cockburn's family of agile methodologies sized to project criticality and team size, ranging from Crystal Clear to Crystal Magenta.",organizing-schema,,high,pending,v4.2
Feature-Driven Development,FDD,framework,computer science,Iterative development methodology organized around designing and building client-valued features in short iterations.,organizing-schema,,high,pending,v4.2
Rational Unified Process,RUP,framework,computer science,"IBM's iterative software development process organized around inception, elaboration, construction, and transition phases.",organizing-schema,,high,pending,v4.2
Disciplined Agile,DA; DAD,framework,project management,"PMI's hybrid agile framework providing a toolkit of practices drawn from Scrum, Kanban, XP, and other sources.",regulatory-standard,,high,pending,v4.2
Nexus,,framework,computer science,Scrum.org's framework for scaling Scrum across multiple teams working on a single product.,organizing-schema,,high,pending,v4.2
Scrum at Scale,S@S,framework,computer science,Sutherland's framework for scaling Scrum across an organization through Scrum of Scrums and Executive Action Teams.,organizing-schema,,high,pending,v4.2
Critical Path Method,CPM,framework,engineering,Network analysis technique identifying the longest sequence of dependent activities and the project duration they determine.,formal-scientific,,high,pending,v4.2
PERT,Program Evaluation Review Technique,framework,engineering,Probabilistic project scheduling technique using three-point estimates to model activity duration uncertainty.,formal-scientific,,high,pending,v4.2
Critical Chain Project Management,CCPM,framework,project management,"Goldratt's application of Theory of Constraints to project management, replacing task-level safety with project-level buffers.",organizing-schema,,high,pending,v4.2
Earned Value Management,EVM,framework,project management,"Project performance measurement integrating scope, schedule, and cost; standardized in ANSI/EIA-748 and required in US federal contracting.",regulatory-standard,,high,pending,v4.2
Gantt Chart Methodology,,framework,project management,"Time-decomposition framework visualizing tasks as horizontal bars on a timeline, originating with Henry Gantt's industrial scheduling work.",organizing-schema,,high,pending,v4.2
Last Planner System,LPS,framework,engineering,"Lean construction scheduling framework emphasizing pull planning, weekly work plans, and learning from variance.",organizing-schema,,high,pending,v4.2
DoD 5000 Series,DoDI 5000,framework,project management,US Department of Defense's framework governing acquisition of weapons systems and other major defense programs.,regulatory-standard,,high,pending,v4.2
NASA NPR 7120.5,,framework,engineering,NASA Procedural Requirements governing program and project management for spaceflight and research.,regulatory-standard,,high,pending,v4.2
ICH-GCP,Good Clinical Practice,framework,medicine,"International Council for Harmonisation guidelines for the design, conduct, and reporting of clinical trials involving human subjects.",regulatory-standard,,high,pending,v4.2
Construction Manager at Risk,CMAR,framework,engineering,Construction project delivery method in which the construction manager commits to deliver within a guaranteed maximum price.,doctrinal-institutional,,high,pending,v4.2
Integrated Project Delivery,IPD,framework,engineering,"Collaborative construction project delivery method aligning contracts, risk-sharing, and team integration around shared outcomes.",organizing-schema,,high,pending,v4.2
Design-Bid-Build,,framework,engineering,"Traditional construction project delivery method with sequential design, competitive bidding, and construction phases under separate contracts.",doctrinal-institutional,,high,pending,v4.2
Design-Build,,framework,engineering,Construction project delivery method consolidating design and construction responsibilities under a single contract.,doctrinal-institutional,,high,pending,v4.2
Annales School,,framework,history,"French historical school emphasizing long-duration structural history (longue durée), mentalités, and social-scientific integration over event-history.",philosophical-tradition,,high,pending,v4.2
Marxist Historiography,Historical Materialism (history),framework,history,"Historical analysis treating class struggle, modes of production, and material conditions as the primary engines of historical change.",philosophical-tradition,,high,pending,v4.2
Whig History,Whig Interpretation,framework,history,"Progressivist historical narrative reading the past as inevitable advance toward present liberal institutions, named and critiqued by Herbert Butterfield.",philosophical-tradition,,high,pending,v4.2
Great Man Theory,,framework,history,Carlyle's view of history as fundamentally the biography of exceptional individuals; widely critiqued and largely abandoned in academic history.,philosophical-tradition,,high,pending,v4.2
Cambridge School,,framework,history,"Skinner and Pocock's contextualist approach to intellectual history, recovering historical meaning through linguistic and contextual reconstruction.",philosophical-tradition,,high,pending,v4.2
Microhistory,,framework,history,Italian historical school using detailed reconstruction of small-scale events and individuals to illuminate broader historical patterns.,philosophical-tradition,,high,pending,v4.2
Counterfactual History,What-If History,framework,history,Historical method using disciplined speculation about alternative outcomes to illuminate causation and contingency in actual events.,philosophical-tradition,,high,pending,v4.2
History from Below,People's History,framework,history,"Historical approach reconstructing the experiences and agency of ordinary people, workers, and marginalized groups rather than elites.",philosophical-tradition,,high,pending,v4.2
Postcolonial History,,framework,history,Historical approach critiquing colonial frameworks and recovering perspectives marginalized by colonial-era historiography.,philosophical-tradition,,high,pending,v4.2
Linguistic Turn,,framework,history,Hayden White's and others' framework treating historical writing as fundamentally narrative construction shaped by rhetorical and linguistic choices.,philosophical-tradition,,high,pending,v4.2
Big History,,framework,history,"David Christian's framework presenting history as a unified narrative from cosmic origins through the present, integrating multiple disciplines.",organizing-schema,,high,pending,v4.2
Environmental History,,framework,history,"Historical approach foregrounding human-environment interaction as a central driver of historical change, associated with Crosby and Worster.",philosophical-tradition,,high,pending,v4.2
Subaltern Studies,,framework,history,"South Asian historical school recovering the agency and consciousness of subaltern groups, originating with Ranajit Guha's collective.",philosophical-tradition,,high,pending,v4.2
Source Criticism,Quellenkritik,framework,history,"Niebuhr and Ranke's methodology for classifying and evaluating historical sources for authenticity, authority, and bias.",philosophical-tradition,,high,pending,v4.2
Prosopography,Collective Biography,framework,history,Historical method analyzing groups through systematic biographical data on their members to reveal social and political patterns.,structured-empirical,,high,pending,v4.2
Oral History Methodology,,framework,history,"Systematic recording, transcription, and analysis of personal testimony as historical evidence, especially for underdocumented populations.",structured-empirical,,high,pending,v4.2
Cliometrics,Quantitative Economic History,framework,history,"Application of quantitative methods and economic theory to historical analysis, foundational to modern economic history.",structured-empirical,,high,pending,v4.2
Comparative Historical Analysis,,framework,history,Skocpol and Tilly's methodology systematically comparing historical cases to identify causal patterns in macro-social processes.,structured-empirical,,high,pending,v4.2
Hegelian Dialectic,Dialectical Method,framework,philosophy,"Hegel's framework of historical and conceptual development through thesis-antithesis-synthesis, foundational to subsequent dialectical traditions.",philosophical-tradition,,high,pending,v4.2
